url,name,title,Path,Slice Name,Alias(s),Label,Min,Max,Must Support?,Is Modifier?,Is Summary?,Type(s),Short,Definition,Comments,Requirements,Default Value,Meaning When Missing,Fixed Value,Pattern,Example,Minimum Value,Maximum Value,Maximum Length,Binding Strength,Binding Description,Binding Value Set,Code,Slicing Discriminator,Slicing Description,Slicing Ordered,Slicing Rules,Base Path,Base Min,Base Max,Condition(s),Constraint(s),Mapping: RIM Mapping,,,,
http://hl7.org/fhir/us/core/StructureDefinition/us-core-bmi,USCoreBMIProfile,US Core BMI Profile,Observation.category.extension,,"extensions
user content",,0,*,,,,"Extension {[]} {[]}
",Additional content defined by implementations,"May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",,,,,,,,,,,,,,"value:url}
",Extensions are always sliced by (at least) url,,open,Element.extension,0,*,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}",,,,,
http://hl7.org/fhir/us/core/StructureDefinition/us-core-bmi,USCoreBMIProfile,US Core BMI Profile,Observation.category.coding,,,,1,*,Y,,Y,"Coding {[]} {[]}
",Code defined by a terminology system,A reference to a code defined by a terminology system.,"Codes may be defined very casually in enumerations, or code lists, up to very formal definitions such as SNOMED CT - see the HL7 v3 Core Principles for more information.  Ordering of codings is undefined and SHALL NOT be used to infer meaning. Generally, at most only one of the coding values will be labeled as UserSelected = true.","Allows for alternative encodings within a code system, and translations to other code systems.",,,,,,,,,,,,,,,,CodeableConcept.coding,0,*,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","C*E.1-8, C*E.10-22","union(., ./translation)",,,,
http://hl7.org/fhir/us/core/StructureDefinition/us-core-bmi,USCoreBMIProfile,US Core BMI Profile,Observation.category.coding.id,,,,0,1,,,,"string {[]} {[]}
",Unique id for inter-element referencing,Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.,,,,,,,,,,,,,,,,,,Element.id,0,1,,,,,,,,
http://hl7.org/fhir/us/core/StructureDefinition/us-core-bmi,USCoreBMIProfile,US Core BMI Profile,Observation.category.coding.extension,,"extensions
user content",,0,*,,,,"Extension {[]} {[]}
",Additional content defined by implementations,"May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",,,,,,,,,,,,,,"value:url}
",Extensions are always sliced by (at least) url,,open,Element.extension,0,*,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}",,,,,
http://hl7.org/fhir/us/core/StructureDefinition/us-core-bmi,USCoreBMIProfile,US Core BMI Profile,Observation.category.coding.system,,,,1,1,Y,,Y,"uri {[]} {[]}
",Identity of the terminology system,The identification of the code system that defines the meaning of the symbol in the code.,"The URI may be an OID (urn:oid:...) or a UUID (urn:uuid:...).  OIDs and UUIDs SHALL be references to the HL7 OID registry. Otherwise, the URI should come from HL7's list of FHIR defined special URIs or it should reference to some definition that establishes the system clearly and unambiguously.",Need to be unambiguous about the source of the definition of the symbol.,,,"<valueUri xmlns=""http://hl7.org/fhir"" value=""http://terminology.hl7.org/CodeSystem/observation-category""/>",,,,,,,,,,,,,Coding.system,0,1,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",C*E.3,./codeSystem,,,,
http://hl7.org/fhir/us/core/StructureDefinition/us-core-bmi,USCoreBMIProfile,US Core BMI Profile,Observation.category.coding.version,,,,0,1,,,Y,"string {[]} {[]}
",Version of the system - if relevant,"The version of the code system which was used when choosing this code. Note that a well-maintained code system does not need the version reported, because the meaning of codes is consistent across versions. However this cannot consistently be assured, and when the meaning is not guaranteed to be consistent, the version SHOULD be exchanged.","Where the terminology does not clearly define what string should be used to identify code system versions, the recommendation is to use the date (expressed in FHIR date format) on which that version was officially published as the version date.",,,,,,,,,,,,,,,,,Coding.version,0,1,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",C*E.7,./codeSystemVersion,,,,
http://hl7.org/fhir/us/core/StructureDefinition/us-core-bmi,USCoreBMIProfile,US Core BMI Profile,Observation.category.coding.code,,,,1,1,Y,,Y,"code {[]} {[]}
",Symbol in syntax defined by the system,A symbol in syntax defined by the system. The symbol may be a predefined code or an expression in a syntax defined by the coding system (e.g. post-coordination).,,Need to refer to a particular code in the system.,,,"<valueCode xmlns=""http://hl7.org/fhir"" value=""vital-signs""/>",,,,,,,,,,,,,Coding.code,0,1,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",C*E.1,./code,,,,
http://hl7.org/fhir/us/core/StructureDefinition/us-core-bmi,USCoreBMIProfile,US Core BMI Profile,Observation.category.coding.display,,,,0,1,,,Y,"string {[]} {[]}
",Representation defined by the system,"A representation of the meaning of the code in the system, following the rules of the system.",,Need to be able to carry a human-readable meaning of the code for readers that do not know  the system.,,,,,,,,,,,,,,,,Coding.display,0,1,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",C*E.2 - but note this is not well followed,CV.displayName,,,,
http://hl7.org/fhir/us/core/StructureDefinition/us-core-bmi,USCoreBMIProfile,US Core BMI Profile,Observation.category.coding.userSelected,,,,0,1,,,Y,"boolean {[]} {[]}
",If this coding was chosen directly by the user,Indicates that this coding was chosen by a user directly - e.g. off a pick list of available items (codes or displays).,"Amongst a set of alternatives, a directly chosen code is the most appropriate starting point for new translations. There is some ambiguity about what exactly 'directly chosen' implies, and trading partner agreement may be needed to clarify the use of this element and its consequences more completely.","This has been identified as a clinical safety criterium - that this exact system/code pair was chosen explicitly, rather than inferred by the system based on some rules or language processing.",,,,,,,,,,,,,,,,Coding.userSelected,0,1,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",Sometimes implied by being first,CD.codingRationale,,,,
http://hl7.org/fhir/us/core/StructureDefinition/us-core-bmi,USCoreBMIProfile,US Core BMI Profile,Observation.category.text,,,,0,1,,,Y,"string {[]} {[]}
",Plain text representation of the concept,A human language representation of the concept as seen/selected/uttered by the user who entered the data and/or which represents the intended meaning of the user.,Very often the text is the same as a displayName of one of the codings.,"The codes from the terminologies do not always capture the correct meaning with all the nuances of the human using them, or sometimes there is no appropriate code at all. In these cases, the text is used to capture the full meaning of the source.",,,,,,,,,,,,,,,,CodeableConcept.text,0,1,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",C*E.9. But note many systems use C*E.2 for this,"./originalText[mediaType/code=""text/plain""]/data",,,,
http://hl7.org/fhir/us/core/StructureDefinition/us-core-bmi,USCoreBMIProfile,US Core BMI Profile,Observation.code,,"Name
",,1,1,Y,,Y,"CodeableConcept {[]} {[]}
",Coded Responses from C-CDA Vital Sign Results,Coded Responses from C-CDA Vital Sign Results.,"*All* code-value and, if present, component.code-component.value pairs need to be taken into account to correctly understand the meaning of the observation.","5. SHALL contain exactly one [1..1] code, where the @code SHOULD be selected from ValueSet HITSP Vital Sign Result Type 2.16.840.1.113883.3.88.12.80.62 DYNAMIC (CONF:7301).",,,,"<valueCodeableConcept xmlns=""http://hl7.org/fhir"">
  <coding>
    <system value=""http://loinc.org""/>
    <code value=""39156-5""/>
  </coding>
</valueCodeableConcept>",,,,,extensible,The vital sign codes from the base FHIR and US Core Vital Signs.,http://hl7.org/fhir/us/core/ValueSet/us-core-vital-signs,,,,,Observation.code,1,1,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",Event.code,< 363787002 |Observable entity| OR < 386053000 |Evaluation procedure|,OBX-3,code,FiveWs.what[x],116680003 |Is a|
http://hl7.org/fhir/us/core/StructureDefinition/us-core-bmi,USCoreBMIProfile,US Core BMI Profile,Observation.subject,,,,1,1,Y,,Y,"Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/core/StructureDefinition/us-core-patient]]}
",Who and/or what the observation is about,"The patient, or group of patients, location, or device this observation is about and into whose record the observation is placed. If the actual focus of the observation is different from the subject (or a sample of, part, or region of the subject), the `focus` element or the `code` itself specifies the actual focus of the observation.","One would expect this element to be a cardinality of 1..1. The only circumstance in which the subject can be missing is when the observation is made by a device that does not know the patient. In this case, the observation SHALL be matched to a patient through some context/channel matching technique, and at this point, the observation should be updated.",Observations have no value if you don't know who or what they're about.,,,,,,,,,,,,,,,,Observation.subject,0,1,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",Event.subject,PID-3,participation[typeCode=RTGT],FiveWs.subject[x],FiveWs.subject,
http://hl7.org/fhir/us/core/StructureDefinition/us-core-bmi,USCoreBMIProfile,US Core BMI Profile,Observation.focus,,,,0,*,,,Y,"Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Resource]]}
","What the observation is about, when it is not about the subject of record","The actual focus of an observation when it is not the patient of record representing something or someone associated with the patient such as a spouse, parent, fetus, or donor. For example, fetus observations in a mother's record.  The focus of an observation could also be an existing condition,  an intervention, the subject's diet,  another observation of the subject,  or a body structure such as tumor or implanted device.   An example use case would be using the Observation resource to capture whether the mother is trained to change her child's tracheostomy tube. In this example, the child is the patient of record and the mother is the focus.","Typically, an observation is made about the subject - a patient, or group of patients, location, or device - and the distinction between the subject and what is directly measured for an observation is specified in the observation code itself ( e.g., ""Blood Glucose"") and does not need to be represented separately using this element.  Use `specimen` if a reference to a specimen is required.  If a code is required instead of a resource use either  `bodysite` for bodysites or the standard extension [focusCode](http://hl7.org/fhir/extension-observation-focuscode.html).",,,,,,,,,,,,,,,,,Observation.focus,0,*,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",OBX-3,participation[typeCode=SBJ],FiveWs.subject[x],FiveWs.subject,,
http://hl7.org/fhir/us/core/StructureDefinition/us-core-bmi,USCoreBMIProfile,US Core BMI Profile,Observation.encounter,,"Context
",,0,1,,,Y,"Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Encounter]]}
",Healthcare event during which this observation is made,The healthcare event  (e.g. a patient and healthcare provider interaction) during which this observation is made.,"This will typically be the encounter the event occurred within, but some events may be initiated prior to or after the official completion of an encounter but still be tied to the context of the encounter (e.g. pre-admission laboratory tests).",For some observations it may be important to know the link between an observation and a particular encounter.,,,,,,,,,,,,,,,,Observation.encounter,0,1,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",Event.context,PV1,"inboundRelationship[typeCode=COMP].source[classCode=ENC, moodCode=EVN]",FiveWs.context,,
http://hl7.org/fhir/us/core/StructureDefinition/us-core-bmi,USCoreBMIProfile,US Core BMI Profile,Observation.effective[x],,"Occurrence
",,1,1,Y,,Y,"dateTime {[]} {[]}
Period {[]} {[]}",Often just a dateTime for Vital Signs,Often just a dateTime for Vital Signs.,"At least a date should be present unless this observation is a historical report.  For recording imprecise or ""fuzzy"" times (For example, a blood glucose measurement taken ""after breakfast"") use the [Timing](http://hl7.org/fhir/datatypes.html#timing) datatype which allow the measurement to be tied to regular life events.",Knowing when an observation was deemed true is important to its relevance as well as determining trends.,,,,,,,,,,,,,,,,Observation.effective[x],0,1,"vs-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
vs-1:if Observation.effective[x] is dateTime and has a value then that value shall be precise to the day {($this as dateTime).toString().length() >= 8}",Event.occurrence[x],"OBX-14, and/or OBX-19 after v2.4  (depends on who observation made)",effectiveTime,FiveWs.done[x],,
http://hl7.org/fhir/us/core/StructureDefinition/us-core-bmi,USCoreBMIProfile,US Core BMI Profile,Observation.issued,,,,0,1,,,Y,"instant {[]} {[]}
",Date/Time this version was made available,"The date and time this version of the observation was made available to providers, typically after the results have been reviewed and verified.","For Observations that don’t require review and verification, it may be the same as the [`lastUpdated` ](http://hl7.org/fhir/resource-definitions.html#Meta.lastUpdated) time of the resource itself.  For Observations that do require review and verification for certain updates, it might not be the same as the `lastUpdated` time of the resource itself due to a non-clinically significant update that doesn’t require the new version to be reviewed and verified again.",,,,,,,,,,,,,,,,,Observation.issued,0,1,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","OBR.22 (or MSH.7), or perhaps OBX-19 (depends on who observation made)",participation[typeCode=AUT].time,FiveWs.recorded,,,
http://hl7.org/fhir/us/core/StructureDefinition/us-core-bmi,USCoreBMIProfile,US Core BMI Profile,Observation.performer,,,,0,*,,,Y,"Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Practitioner], CanonicalType[http://hl7.org/fhir/StructureDefinition/PractitionerRole], CanonicalType[http://hl7.org/fhir/StructureDefinition/Organization], CanonicalType[http://hl7.org/fhir/StructureDefinition/CareTeam], CanonicalType[http://hl7.org/fhir/StructureDefinition/Patient], CanonicalType[http://hl7.org/fhir/StructureDefinition/RelatedPerson]]}
",Who is responsible for the observation,"Who was responsible for asserting the observed value as ""true"".",,May give a degree of confidence in the observation and also indicates where follow-up questions should be directed.,,,,,,,,,,,,,,,,Observation.performer,0,*,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",Event.performer.actor,"OBX.15 / (Practitioner)  OBX-16,  PRT-5:PRT-4='RO' /  (Device)  OBX-18 , PRT-10:PRT-4='EQUIP' / (Organization)  OBX-23,  PRT-8:PRT-4='PO'",participation[typeCode=PRF],FiveWs.actor,,
http://hl7.org/fhir/us/core/StructureDefinition/us-core-bmi,USCoreBMIProfile,US Core BMI Profile,Observation.value[x],,,,0,1,Y,,Y,"Quantity {[]} {[]}
",Vital Signs Value,Vital Signs value are typically recorded using the Quantity data type.,"An observation may have; 1)  a single value here, 2)  both a value and a set of related or component values,  or 3)  only a set of related or component values. If a value is present, the datatype for this element should be determined by Observation.code.  A CodeableConcept with just a text would be used instead of a string if the field was usually coded, or if the type associated with the Observation.code defines a coded value.  For additional guidance, see the [Notes section](http://hl7.org/fhir/observation.html#notes) below.","9. SHALL contain exactly one [1..1] value with @xsi:type=""PQ"" (CONF:7305).",,,,,,,,,extensible,Common UCUM units for recording Vital Signs.,http://hl7.org/fhir/ValueSet/ucum-vitals-common|4.0.1,,"type:$this}
",,,closed,Observation.value[x],0,1,"obs-7
vs-2","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",< 441742003 |Evaluation finding|,"OBX.2, OBX.5, OBX.6",value,363714003 |Interprets|,
http://hl7.org/fhir/us/core/StructureDefinition/us-core-bmi,USCoreBMIProfile,US Core BMI Profile,Observation.value[x],valueQuantity,,,0,1,Y,,Y,"Quantity {[]} {[]}
",Vital Signs Value,Vital Signs value are typically recorded using the Quantity data type.,"An observation may have; 1)  a single value here, 2)  both a value and a set of related or component values,  or 3)  only a set of related or component values. If a value is present, the datatype for this element should be determined by Observation.code.  A CodeableConcept with just a text would be used instead of a string if the field was usually coded, or if the type associated with the Observation.code defines a coded value.  For additional guidance, see the [Notes section](http://hl7.org/fhir/observation.html#notes) below.","9. SHALL contain exactly one [1..1] value with @xsi:type=""PQ"" (CONF:7305).",,,,,,,,,extensible,Common UCUM units for recording Vital Signs.,http://hl7.org/fhir/ValueSet/ucum-vitals-common|4.0.1,,,,,Observation.value[x],0,1,"obs-7
vs-2","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",< 441742003 |Evaluation finding|,"OBX.2, OBX.5, OBX.6",value,363714003 |Interprets|,,
http://hl7.org/fhir/us/core/StructureDefinition/us-core-bmi,USCoreBMIProfile,US Core BMI Profile,Observation.value[x].id,,,,0,1,,,,"string {[]} {[]}
",Unique id for inter-element referencing,Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.,,,,,,,,,,,,,,,,,,Element.id,0,1,,,,,,,,
http://hl7.org/fhir/us/core/StructureDefinition/us-core-bmi,USCoreBMIProfile,US Core BMI Profile,Observation.value[x].extension,,"extensions
user content",,0,*,,,,"Extension {[]} {[]}
",Additional content defined by implementations,"May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",,,,,,,,,,,,,,"value:url}
",Extensions are always sliced by (at least) url,,open,Element.extension,0,*,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}",,,,,
http://hl7.org/fhir/us/core/StructureDefinition/us-core-bmi,USCoreBMIProfile,US Core BMI Profile,Observation.value[x].value,,,,1,1,Y,,Y,"decimal {[]} {[]}
",Numerical value (with implicit precision),The value of the measured amount. The value includes an implicit precision in the presentation of the value.,The implicit precision in the value should always be honored. Monetary values have their own rules for handling precision (refer to standard accounting text books).,Precision is handled implicitly in almost all cases of measurement.,,,,,,,,,,,,,,,,Quantity.value,0,1,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",SN.2  / CQ - N/A,"PQ.value, CO.value, MO.value, IVL.high or IVL.low depending on the value",,,,
http://hl7.org/fhir/us/core/StructureDefinition/us-core-bmi,USCoreBMIProfile,US Core BMI Profile,Observation.value[x].comparator,,,,0,1,,Y,Y,"code {[]} {[]}
",< | <= | >= | > - how to understand the value,"How the value should be understood and represented - whether the actual value is greater or less than the stated value due to measurement issues; e.g. if the comparator is ""<"" , then the real value is < stated value.",,Need a framework for handling measures where the value is <5ug/L or >400mg/L due to the limitations of measuring methodology.,,"If there is no comparator, then there is no modification of the value",,,,,,,required,How the Quantity should be understood and represented.,http://hl7.org/fhir/ValueSet/quantity-comparator|4.0.1,,,,,Quantity.comparator,0,1,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",SN.1  / CQ.1,IVL properties,,,,
http://hl7.org/fhir/us/core/StructureDefinition/us-core-bmi,USCoreBMIProfile,US Core BMI Profile,Observation.value[x].unit,,,,1,1,Y,,Y,"string {[]} {[]}
",Unit representation,A human-readable form of the unit.,,"There are many representations for units of measure and in many contexts, particular representations are fixed and required. I.e. mcg for micrograms.",,,,,,,,,,,,,,,,Quantity.unit,0,1,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",(see OBX.6 etc.) / CQ.2,PQ.unit,,,,
http://hl7.org/fhir/us/core/StructureDefinition/us-core-bmi,USCoreBMIProfile,US Core BMI Profile,Observation.value[x].system,,,,1,1,Y,,Y,"uri {[]} {[]}
",System that defines coded unit form,The identification of the system that provides the coded form of the unit.,,Need to know the system that defines the coded form of the unit.,,,"<valueUri xmlns=""http://hl7.org/fhir"" value=""http://unitsofmeasure.org""/>",,,,,,,,,,,,,Quantity.system,0,1,"qty-3
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",(see OBX.6 etc.) / CQ.2,"CO.codeSystem, PQ.translation.codeSystem",,,,
http://hl7.org/fhir/us/core/StructureDefinition/us-core-bmi,USCoreBMIProfile,US Core BMI Profile,Observation.value[x].code,,,,1,1,Y,,Y,"code {[]} {[]}
",Coded responses from the common UCUM units for vital signs value set.,A computer processable form of the unit in some unit representation system.,"The preferred system is UCUM, but SNOMED CT can also be used (for customary units) or ISO 4217 for currency.  The context of use may additionally require a code from a particular system.","Need a computable form of the unit that is fixed across all forms. UCUM provides this for quantities, but SNOMED CT provides many units of interest.",,,"<valueCode xmlns=""http://hl7.org/fhir"" value=""kg/m2""/>",,,,,,,,,,,,,Quantity.code,0,1,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",(see OBX.6 etc.) / CQ.2,"PQ.code, MO.currency, PQ.translation.code",,,,
http://hl7.org/fhir/us/core/StructureDefinition/us-core-bmi,USCoreBMIProfile,US Core BMI Profile,Observation.dataAbsentReason,,,,0,1,Y,,,"CodeableConcept {[]} {[]}
",Why the result is missing,Provides a reason why the expected value in the element Observation.value[x] is missing.,"Null or exceptional values can be represented two ways in FHIR Observations.  One way is to simply include them in the value set and represent the exceptions in the value.  For example, measurement values for a serology test could be  ""detected"", ""not detected"", ""inconclusive"", or  ""specimen unsatisfactory"".   

The alternate way is to use the value element for actual observations and use the explicit dataAbsentReason element to record exceptional values.  For example, the dataAbsentReason code ""error"" could be used when the measurement was not completed. Note that an observation may only be reported if there are values to report. For example differential cell counts values may be reported only when > 0.  Because of these options, use-case agreements are required to interpret general observations for null or exceptional values.",For many results it is necessary to handle exceptional values in measurements.,,,,,,,,,extensible,Codes specifying why the result (`Observation.value[x]`) is missing.,http://hl7.org/fhir/ValueSet/data-absent-reason,,,,,Observation.dataAbsentReason,0,1,"obs-6
vs-2","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",,value.nullFlavor,,,,
http://hl7.org/fhir/us/core/StructureDefinition/us-core-bmi,USCoreBMIProfile,US Core BMI Profile,Observation.interpretation,,"Abnormal Flag
",,0,*,,,,"CodeableConcept {[]} {[]}
","High, low, normal, etc.","A categorical assessment of an observation value.  For example, high, low, normal.","Historically used for laboratory results (known as 'abnormal flag' ),  its use extends to other use cases where coded interpretations  are relevant.  Often reported as one or more simple compact codes this element is often placed adjacent to the result value in reports and flow sheets to signal the meaning/normalcy status of the result.","For some results, particularly numeric results, an interpretation is necessary to fully understand the significance of a result.",,,,,,,,,extensible,Codes identifying interpretations of observations.,http://hl7.org/fhir/ValueSet/observation-interpretation,,,,,Observation.interpretation,0,*,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",< 260245000 |Findings values|,OBX-8,interpretationCode,363713009 |Has interpretation|,,
http://hl7.org/fhir/us/core/StructureDefinition/us-core-bmi,USCoreBMIProfile,US Core BMI Profile,Observation.note,,,,0,*,,,,"Annotation {[]} {[]}
",Comments about the observation,Comments about the observation or the results.,"May include general statements about the observation, or statements about significant, unexpected or unreliable results values, or information about its source when relevant to its interpretation.",Need to be able to provide free text additional information.,,,,,,,,,,,,,,,,Observation.note,0,*,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","NTE.3 (partner NTE to OBX, or sometimes another (child?) OBX)","subjectOf.observationEvent[code=""annotation""].value",,,,
http://hl7.org/fhir/us/core/StructureDefinition/us-core-bmi,USCoreBMIProfile,US Core BMI Profile,Observation.bodySite,,,,0,1,,,,"CodeableConcept {[]} {[]}
",Observed body part,Indicates the site on the subject's body where the observation was made (i.e. the target site).,"Only used if not implicit in code found in Observation.code.  In many systems, this may be represented as a related observation instead of an inline component.   

If the use case requires BodySite to be handled as a separate resource (e.g. to identify and track separately) then use the standard extension[ bodySite](http://hl7.org/fhir/extension-bodysite.html).",,,,,,,,,,example,Codes describing anatomical locations. May include laterality.,http://hl7.org/fhir/ValueSet/body-site,,,,,Observation.bodySite,0,1,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",< 123037004 |Body structure|,OBX-20,targetSiteCode,718497002 |Inherent location|,,
http://hl7.org/fhir/us/core/StructureDefinition/us-core-bmi,USCoreBMIProfile,US Core BMI Profile,Observation.method,,,,0,1,,,,"CodeableConcept {[]} {[]}
",How it was done,Indicates the mechanism used to perform the observation.,Only used if not implicit in code for Observation.code.,"In some cases, method can impact results and is thus used for determining whether results can be compared or determining significance of results.",,,,,,,,,example,Methods for simple observations.,http://hl7.org/fhir/ValueSet/observation-methods,,,,,Observation.method,0,1,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",OBX-17,methodCode,,,,
http://hl7.org/fhir/us/core/StructureDefinition/us-core-bmi,USCoreBMIProfile,US Core BMI Profile,Observation.specimen,,,,0,1,,,,"Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Specimen]]}
",Specimen used for this observation,The specimen that was used when this observation was made.,"Should only be used if not implicit in code found in `Observation.code`.  Observations are not made on specimens themselves; they are made on a subject, but in many cases by the means of a specimen. Note that although specimens are often involved, they are not always tracked and reported explicitly. Also note that observation resources may be used in contexts that track the specimen explicitly (e.g. Diagnostic Report).",,,,,,,,,,,,,,,,,Observation.specimen,0,1,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",< 123038009 |Specimen|,SPM segment,participation[typeCode=SPC].specimen,704319004 |Inherent in|,,
http://hl7.org/fhir/us/core/StructureDefinition/us-core-bmi,USCoreBMIProfile,US Core BMI Profile,Observation.device,,,,0,1,,,,"Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Device], CanonicalType[http://hl7.org/fhir/StructureDefinition/DeviceMetric]]}
",(Measurement) Device,The device used to generate the observation data.,"Note that this is not meant to represent a device involved in the transmission of the result, e.g., a gateway.  Such devices may be documented using the Provenance resource where relevant.",,,,,,,,,,,,,,,,,Observation.device,0,1,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",< 49062001 |Device|,OBX-17 / PRT -10,participation[typeCode=DEV],424226004 |Using device|,,
http://hl7.org/fhir/us/core/StructureDefinition/us-core-bmi,USCoreBMIProfile,US Core BMI Profile,Observation.referenceRange,,,,0,*,,,,"BackboneElement {[]} {[]}
",Provides guide for interpretation,"Guidance on how to interpret the value by comparison to a normal or recommended range.  Multiple reference ranges are interpreted as an ""OR"".   In other words, to represent two distinct target populations, two `referenceRange` elements would be used.","Most observations only have one generic reference range. Systems MAY choose to restrict to only supplying the relevant reference range based on knowledge about the patient (e.g., specific to the patient's age, gender, weight and other factors), but this might not be possible or appropriate. Whenever more than one reference range is supplied, the differences between them SHOULD be provided in the reference range and/or age properties.","Knowing what values are considered ""normal"" can help evaluate the significance of a particular result. Need to be able to provide multiple reference ranges for different contexts.",,,,,,,,,,,,,,,,Observation.referenceRange,0,*,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
obs-3:Must have at least a low or a high or text {low.exists() or high.exists() or text.exists()}",OBX.7,"outboundRelationship[typeCode=REFV]/target[classCode=OBS, moodCode=EVN]",,,,
http://hl7.org/fhir/us/core/StructureDefinition/us-core-bmi,USCoreBMIProfile,US Core BMI Profile,Observation.referenceRange.id,,,,0,1,,,,"string {[]} {[]}
",Unique id for inter-element referencing,Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.,,,,,,,,,,,,,,,,,,Element.id,0,1,,,,,,,,
http://hl7.org/fhir/us/core/StructureDefinition/us-core-bmi,USCoreBMIProfile,US Core BMI Profile,Observation.referenceRange.extension,,"extensions
user content",,0,*,,,,"Extension {[]} {[]}
",Additional content defined by implementations,"May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",,,,,,,,,,,,,,,,,Element.extension,0,*,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}",,,,,,
